(2, 0.1, 1.59203577e-06)
(2, 0.1, 0.03463008)
(2, 0.1, 0.01961949)
(4, 0.1, 1.59203577e-06)
(4, 0.1, 0.03463008)
(4, 0.1, 0.01961949)
(6, 0.1, 1.59203577e-06)
(6, 0.1, 0.03463008)
(6, 0.1, 0.01961949)
(8, 0.1, 1.59203577e-06)
(8, 0.1, 0.03463008)
(8, 0.1, 0.01961949)
(10, 0.1, 1.59203577e-06)
(10, 0.1, 0.03463008)
(10, 0.1, 0.01961949)
(2, 0.2, 1.59203577e-06)
(2, 0.2, 0.03463008)
(2, 0.2, 0.01961949)
(4, 0.2, 1.59203577e-06)
(4, 0.2, 0.03463008)
(4, 0.2, 0.01961949)
(6, 0.2, 1.59203577e-06)
(6, 0.2, 0.03463008)
(6, 0.2, 0.01961949)
(8, 0.2, 1.59203577e-06)
(8, 0.2, 0.03463008)
(8, 0.2, 0.01961949)
(10, 0.2, 1.59203577e-06)
(10, 0.2, 0.03463008)
(10, 0.2, 0.01961949)
(2, 0.3, 1.59203577e-06)
(2, 0.3, 0.03463008)
(2, 0.3, 0.01961949)
(4, 0.3, 1.59203577e-06)
(4, 0.3, 0.03463008)
(4, 0.3, 0.01961949)
(6, 0.3, 1.59203577e-06)
(6, 0.3, 0.03463008)
(6, 0.3, 0.01961949)
(8, 0.3, 1.59203577e-06)
(8, 0.3, 0.03463008)
(8, 0.3, 0.01961949)
(10, 0.3, 1.59203577e-06)
(10, 0.3, 0.03463008)
(10, 0.3, 0.01961949)
(2, 0.4, 1.59203577e-06)
(2, 0.4, 0.03463008)
(2, 0.4, 0.01961949)
(4, 0.4, 1.59203577e-06)
(4, 0.4, 0.03463008)
(4, 0.4, 0.01961949)
(6, 0.4, 1.59203577e-06)
(6, 0.4, 0.03463008)
(6, 0.4, 0.01961949)
(8, 0.4, 1.59203577e-06)
(8, 0.4, 0.03463008)
(8, 0.4, 0.01961949)
(10, 0.4, 1.59203577e-06)
(10, 0.4, 0.03463008)
(10, 0.4, 0.01961949)
