(2, 0.1, 0.00164855)
(2, 0.1, 0.00064368)
(2, 0.1, 0.19663612)
(4, 0.1, 0.00256009)
(4, 0.1, 0.0009944)
(4, 0.1, 0.30300609)
(6, 0.1, 0.00283577)
(6, 0.1, 0.00109735)
(6, 0.1, 0.33404736)
(8, 0.1, 0.00289602)
(8, 0.1, 0.00112108)
(8, 0.1, 0.34133784)
(10, 0.1, 0.00290696)
(10, 0.1, 0.00112611)
(10, 0.1, 0.34294065)
(2, 0.2, 0.00583967)
(2, 0.2, 0.00227423)
(2, 0.2, 0.69373753)
(4, 0.2, 0.0095796)
(4, 0.2, 0.0037113)
(4, 0.2, 1.13069237)
(6, 0.2, 0.01067453)
(6, 0.2, 0.00412644)
(6, 0.2, 1.25643462)
(8, 0.2, 0.0109815)
(8, 0.2, 0.0042405)
(8, 0.2, 1.2909602)
(10, 0.2, 0.01102231)
(10, 0.2, 0.00425769)
(10, 0.2, 1.29636673)
(2, 0.3, 0.01173255)
(2, 0.3, 0.00457837)
(2, 0.3, 1.39475274)
(4, 0.3, 0.01996533)
(4, 0.3, 0.00774839)
(4, 0.3, 2.35908048)
(6, 0.3, 0.02256701)
(6, 0.3, 0.00874853)
(6, 0.3, 2.66336267)
(8, 0.3, 0.02331706)
(8, 0.3, 0.00903095)
(8, 0.3, 2.74876845)
(10, 0.3, 0.02350347)
(10, 0.3, 0.00911374)
(10, 0.3, 2.77505625)
(2, 0.4, 0.01882167)
(2, 0.4, 0.00737113)
(2, 0.4, 2.2460213)
(4, 0.4, 0.03338822)
(4, 0.4, 0.01303748)
(4, 0.4, 3.95663855)
(6, 0.4, 0.03826616)
(6, 0.4, 0.0149407)
(6, 0.4, 4.53717792)
(8, 0.4, 0.03963552)
(8, 0.4, 0.01545597)
(8, 0.4, 4.69286464)
(10, 0.4, 0.04011803)
(10, 0.4, 0.01565658)
(10, 0.4, 4.75556994)
